tenure,last_active_days,usage_frequency,session_duration,complaints,monthly_charges,payment_missed,products_used,plan_type,churn
26,38,11,35,5,1143,0,1,standard,0
53,54,10,9,6,1275,0,3,standard,0
56,58,5,19,2,1433,1,1,standard,0
30,67,4,1,2,228,1,1,basic,0
46,28,2,15,3,550,0,1,premium,0
51,1,7,23,1,365,1,2,premium,1
53,66,5,26,1,1005,1,3,standard,0
6,43,3,28,4,1240,1,1,premium,1
22,86,13,5,0,1308,1,1,basic,1
33,38,13,37,2,419,0,2,basic,0
52,44,4,29,3,1478,1,2,basic,0
26,69,8,3,0,1018,1,1,standard,1
34,21,6,13,0,886,0,2,premium,0
40,32,7,24,1,411,0,1,standard,0
50,86,1,13,3,706,1,2,basic,1
16,40,9,24,1,345,1,2,basic,0
23,13,14,33,0,600,0,2,basic,0
30,18,4,39,7,788,1,1,basic,0
54,16,2,27,5,1194,0,2,standard,0
24,84,10,27,7,1441,0,2,basic,0
12,34,0,21,1,427,0,1,standard,0
25,65,8,28,4,1028,0,2,basic,0
47,78,12,26,0,705,1,2,standard,0
31,28,9,32,0,431,0,1,basic,0
52,81,13,18,4,336,0,3,basic,0
19,29,4,28,2,1458,1,3,premium,0
31,42,4,37,6,740,0,1,basic,1
4,85,1,38,6,258,1,2,basic,1
54,73,2,9,2,594,0,2,basic,0
28,74,6,25,4,1394,1,2,standard,1
8,8,8,35,4,860,0,1,standard,0
43,5,5,14,2,595,0,1,basic,0
28,13,11,30,0,1205,0,1,basic,0
56,23,5,34,7,1270,0,2,basic,1
21,33,10,22,1,874,1,3,standard,0
28,23,7,42,5,1460,0,1,premium,0
47,25,8,37,1,1230,0,1,basic,0
14,52,1,38,3,1335,0,2,basic,0
19,10,7,3,6,974,0,1,basic,1
9,47,2,18,0,1015,0,1,basic,0
27,73,14,4,2,1370,0,2,premium,0
10,82,13,22,2,304,0,3,basic,0
59,1,8,2,4,424,1,3,premium,0
33,5,11,40,4,354,0,2,standard,0
23,34,1,7,6,636,1,2,basic,1
46,23,1,22,2,1231,0,2,basic,1
34,78,11,17,0,507,0,1,basic,0
13,20,9,21,4,977,0,2,basic,0
9,66,10,12,1,1120,0,3,basic,0
53,89,13,39,7,584,0,2,basic,0
43,86,3,16,6,221,0,2,basic,0
39,11,6,39,1,773,1,2,standard,0
24,43,0,2,4,614,0,2,basic,1
15,32,3,42,3,556,0,3,premium,0
43,53,4,13,3,298,1,2,standard,0
39,36,6,22,5,591,0,3,standard,0
42,63,10,29,1,219,1,2,standard,0
38,52,12,41,3,702,0,1,standard,0
32,5,9,44,2,315,0,1,standard,0
18,15,7,25,7,1093,0,2,premium,0
59,19,4,23,0,420,0,1,basic,0
51,77,6,37,1,361,1,2,basic,0
49,61,6,7,5,900,0,1,basic,1
44,29,0,10,2,1051,0,3,basic,0
6,61,14,34,3,556,0,2,standard,0
3,81,4,19,6,461,0,1,standard,1
45,9,6,1,0,988,0,2,basic,0
17,70,0,7,1,210,0,2,basic,0
37,38,7,16,0,1188,0,3,standard,0
11,33,6,4,2,228,1,1,basic,0
2,40,13,11,7,772,0,3,premium,0
43,65,2,4,1,364,0,2,premium,0
10,10,0,1,4,1068,0,1,premium,1
27,16,6,29,3,1196,1,2,standard,0
6,20,12,37,6,800,0,2,standard,0
17,20,13,16,5,831,0,2,standard,0
46,90,12,33,4,929,0,2,basic,0
51,62,0,30,2,902,0,1,premium,0
20,63,10,34,1,562,1,3,premium,0
27,57,8,37,5,520,0,2,basic,0
48,69,5,35,1,1416,1,1,premium,0
42,38,6,11,3,1364,0,2,basic,0
2,37,14,3,2,614,0,1,standard,0
28,9,5,7,6,793,0,1,basic,0
42,4,10,1,1,575,0,1,standard,0
24,67,14,12,5,1305,1,1,standard,1
13,23,5,26,1,621,0,1,premium,0
37,80,9,39,1,1138,0,3,premium,0
42,31,9,1,7,1476,1,1,standard,1
52,90,8,22,1,309,1,3,standard,0
41,21,1,12,1,498,0,1,standard,0
16,68,0,37,6,1434,0,1,standard,1
18,73,7,4,4,843,0,1,premium,1
48,32,9,19,0,739,0,3,standard,0
35,56,4,41,1,1117,0,2,basic,0
27,5,6,34,6,1232,0,1,basic,0
29,57,13,36,3,956,1,1,basic,0
16,85,11,16,2,303,0,1,basic,0
21,64,14,4,3,1361,1,3,premium,1
39,60,9,20,0,532,0,2,basic,0
49,12,13,11,3,1191,0,2,premium,0
10,7,4,13,2,908,0,1,standard,0
36,53,9,25,2,464,1,3,premium,0
22,69,1,2,5,1329,0,3,basic,1
10,45,4,19,6,1389,0,1,premium,0
57,49,9,34,1,1424,0,3,basic,0
47,16,2,6,6,676,0,1,premium,0
26,55,5,25,2,358,0,2,basic,0
28,76,2,41,4,998,0,1,premium,0
2,37,5,40,1,1379,0,1,basic,1
14,37,11,17,7,649,0,2,standard,0
14,33,0,31,1,1327,0,1,standard,1
31,2,2,44,6,1053,0,3,premium,0
21,75,4,32,2,1499,0,1,basic,0
47,43,10,21,3,1051,1,2,standard,0
9,76,9,38,1,750,0,1,premium,0
10,85,12,9,0,341,0,1,standard,0
30,61,12,16,1,920,0,2,basic,0
53,48,14,43,0,1469,0,3,standard,0
23,77,13,33,4,1029,0,1,basic,0
44,74,12,31,5,1184,0,1,standard,0
33,71,8,9,1,1024,0,2,standard,0
18,81,2,10,0,822,0,2,basic,0
19,56,7,29,6,310,0,1,basic,0
2,22,6,21,7,208,1,1,premium,1
36,64,1,9,4,820,0,2,standard,0
45,74,11,18,5,428,1,1,standard,1
9,49,13,25,2,827,1,3,basic,0
19,22,8,30,1,343,1,1,premium,0
16,78,9,44,7,469,0,2,basic,0
23,71,11,23,3,1109,0,2,basic,0
32,89,0,39,6,1415,1,2,standard,1
41,26,11,9,3,1251,0,1,basic,0
29,81,14,38,6,1327,0,3,premium,0
41,9,9,39,3,1381,0,1,standard,0
37,55,11,4,6,592,0,2,basic,0
51,57,9,30,0,477,0,1,premium,0
26,71,5,30,6,285,0,3,standard,0
33,20,14,34,7,1386,0,3,standard,0
32,51,2,33,3,934,0,3,standard,0
9,83,1,38,1,1433,0,2,standard,1
56,58,5,14,3,1409,0,2,premium,0
26,44,11,18,3,555,0,1,standard,0
29,67,9,25,6,522,0,2,standard,0
54,0,12,39,2,1008,0,2,basic,0
47,89,6,10,5,1392,0,2,standard,0
34,22,12,40,5,749,1,1,basic,1
7,90,14,15,5,1236,0,1,premium,1
10,72,10,31,3,259,0,2,basic,0
2,23,13,7,3,825,0,3,basic,0
4,28,8,1,2,505,1,2,basic,1
56,89,4,13,0,338,0,3,standard,0
27,77,14,5,1,1003,0,1,basic,0
17,29,4,13,0,776,0,2,basic,0
30,56,0,8,0,255,1,2,basic,0
25,0,9,42,2,248,0,1,premium,0
17,48,11,20,1,842,0,2,standard,0
42,14,0,16,2,446,0,2,premium,0
9,85,11,17,5,800,0,1,premium,0
58,30,10,12,5,231,0,1,basic,0
55,16,12,11,5,316,0,3,basic,0
4,79,4,26,0,346,1,3,basic,0
36,42,4,2,0,879,0,2,standard,0
16,1,9,44,7,837,0,1,basic,0
9,82,12,40,5,772,0,2,basic,1
16,10,0,7,7,887,1,2,basic,1
50,80,14,12,6,765,0,2,basic,0
58,87,6,17,6,1313,0,2,standard,0
3,43,9,40,6,1291,0,2,standard,1
17,66,9,42,7,1246,0,2,basic,1
33,60,12,26,3,440,0,2,basic,0
21,22,3,21,4,1394,0,3,standard,0
55,59,2,1,3,1284,0,3,premium,0
59,13,11,16,0,532,1,3,premium,0
31,79,14,25,7,757,0,3,basic,0
13,2,10,34,0,666,0,2,standard,0
7,23,14,22,4,862,0,3,basic,0
5,71,14,4,1,1164,0,1,standard,1
26,32,0,8,3,727,1,1,basic,1
31,41,11,1,1,1040,0,2,standard,0
3,23,8,13,1,910,0,2,premium,0
33,31,4,39,7,667,1,3,basic,0
41,69,0,25,5,907,1,2,premium,1
36,63,7,17,6,620,0,1,standard,0
35,36,6,33,6,580,1,3,basic,0
22,18,3,20,7,744,0,1,basic,0
52,18,4,22,0,208,0,2,standard,0
18,32,0,12,5,716,0,3,basic,1
53,32,14,18,4,1152,1,3,premium,0
14,52,14,25,7,749,0,1,standard,0
33,85,1,44,0,688,0,1,standard,0
56,45,2,5,5,1034,0,1,standard,1
37,60,5,17,6,1085,0,1,standard,1
53,85,10,13,7,1282,1,1,basic,1
23,87,14,5,4,1304,0,2,basic,0
10,15,4,15,4,1300,0,1,premium,0
33,28,4,13,0,1182,1,1,standard,0
3,29,6,18,2,626,0,1,premium,0
41,89,3,33,3,1300,1,3,standard,1
4,82,14,4,5,806,1,1,basic,1
37,22,10,6,1,1347,1,1,standard,0
40,37,6,11,0,1406,0,3,basic,0
31,69,4,21,1,602,0,1,standard,0
26,50,1,41,1,992,0,1,premium,0
28,37,0,42,4,373,0,3,premium,0
15,47,7,13,6,1010,0,2,standard,1
47,86,13,29,5,1032,0,3,basic,0
37,70,13,35,4,1364,1,2,basic,0
23,82,13,22,4,1476,0,2,basic,0
42,2,10,41,2,995,1,1,basic,0
28,29,1,44,2,1066,0,2,standard,0
25,55,14,37,2,1097,1,3,standard,0
42,53,4,35,5,275,1,1,standard,1
32,83,1,31,3,701,1,1,standard,1
14,61,2,13,2,1097,0,3,basic,0
18,6,12,36,0,1189,0,1,premium,0
55,76,7,41,2,702,0,1,basic,0
6,31,11,10,1,345,1,1,standard,0
17,65,14,29,1,567,0,2,basic,0
11,89,0,24,3,682,0,3,basic,0
48,26,6,35,3,1396,0,3,standard,0
15,20,3,35,1,808,0,1,premium,0
47,79,10,38,2,394,0,2,standard,0
26,86,12,43,4,595,1,1,basic,1
53,39,0,20,5,555,1,2,basic,1
55,18,14,13,4,644,0,2,basic,0
49,55,11,30,3,693,1,2,basic,0
26,78,14,38,2,454,1,3,premium,0
24,38,3,29,3,332,0,2,standard,0
37,90,13,30,2,1345,0,1,premium,0
5,90,10,8,7,667,0,1,premium,1
8,28,14,41,5,860,0,1,basic,0
57,83,8,30,1,420,1,1,standard,0
20,1,7,31,2,841,1,2,standard,0
2,5,14,10,3,1244,0,1,basic,0
41,51,2,34,4,1051,0,2,premium,0
29,88,14,21,5,1098,0,3,basic,0
17,64,9,26,6,707,0,3,basic,0
19,24,8,32,6,1235,0,3,basic,0
5,88,5,28,6,1403,0,2,premium,1
23,74,1,33,1,518,1,1,standard,1
15,41,12,23,2,728,1,2,premium,0
6,73,3,22,4,407,0,2,basic,0
3,51,9,1,3,1185,1,2,basic,1
58,65,9,14,1,727,1,1,standard,1
2,38,8,19,7,608,1,3,standard,1
57,60,3,34,0,403,0,3,basic,0
5,58,3,9,4,337,1,2,standard,1
6,62,10,25,2,1018,0,1,premium,0
51,51,2,10,1,781,0,3,premium,0
47,53,6,31,2,548,0,3,premium,0
55,56,5,1,7,762,0,1,premium,0
56,70,0,10,6,1037,0,1,basic,1
16,71,7,13,4,1439,0,2,basic,0
1,30,8,34,6,465,1,3,premium,0
12,16,3,26,7,922,0,1,standard,1
35,14,0,26,2,736,0,1,standard,0
15,87,4,7,0,964,0,1,standard,0
18,80,1,24,1,1108,0,2,basic,0
3,62,2,23,3,1089,0,2,premium,1
31,58,9,12,7,819,0,2,standard,0
41,70,3,14,2,1252,0,2,standard,0
33,33,12,24,0,1242,0,2,premium,0
58,41,12,12,6,1308,1,2,basic,0
35,39,5,2,1,336,0,1,basic,0
22,37,2,19,7,614,1,2,premium,1
23,2,6,25,2,769,1,2,basic,0
8,8,13,37,5,538,0,2,standard,0
42,49,12,4,7,1183,0,2,premium,0
44,44,10,16,6,929,1,3,premium,0
14,15,10,9,1,455,1,3,basic,0
29,69,10,25,0,1247,0,1,standard,0
28,80,13,7,5,1444,0,2,standard,0
30,41,10,27,7,426,0,1,basic,0
31,21,11,28,7,1300,0,1,standard,0
19,82,3,9,7,1069,0,1,premium,1
26,13,6,29,3,764,0,1,standard,0
44,46,2,23,2,1027,1,3,basic,0
20,13,11,32,1,834,1,1,standard,1
16,0,12,11,4,207,0,2,standard,0
20,78,13,27,4,756,0,2,basic,0
46,13,7,14,0,791,0,3,standard,0
15,56,9,35,7,855,0,3,premium,0
55,13,10,30,4,430,0,2,premium,0
22,46,12,22,4,276,0,2,basic,0
37,70,7,37,0,577,0,3,basic,0
52,33,3,24,4,872,0,1,standard,0
54,79,9,29,2,386,1,1,basic,0
39,68,11,21,1,1322,0,3,standard,0
21,36,5,7,1,1231,0,3,standard,1
49,42,8,37,0,753,0,1,premium,0
12,23,3,5,5,1311,0,2,standard,1
44,14,12,43,5,470,0,2,basic,0
27,86,12,41,4,251,1,2,premium,0
5,4,10,41,3,535,0,1,basic,0
50,20,5,43,4,819,0,1,basic,0
49,16,14,23,1,1328,1,2,basic,0
38,3,7,31,4,1012,0,2,basic,0
31,25,6,30,1,527,0,2,standard,0
57,73,3,41,6,798,1,3,basic,1
34,88,11,26,6,1167,0,2,basic,1
45,34,10,3,2,674,0,2,premium,0
57,36,6,1,3,449,0,1,standard,0
14,33,8,4,7,673,0,3,standard,0
8,77,9,3,5,982,0,1,basic,1
47,3,6,2,2,1358,0,2,standard,0
13,76,10,11,7,1110,0,2,standard,0
55,38,1,33,3,495,1,1,basic,1
22,56,0,22,3,1388,1,3,standard,1
37,59,1,35,1,1114,1,2,standard,0
21,1,14,44,0,485,1,2,standard,0
24,59,10,13,2,399,1,2,premium,0
43,7,12,21,6,1187,0,1,basic,0
12,63,8,36,2,524,0,1,standard,0
27,53,9,3,3,831,0,2,standard,0
30,30,8,26,2,861,0,1,basic,0
59,53,5,12,7,1229,0,3,basic,0
44,62,9,30,3,315,0,2,standard,0
53,57,4,16,0,359,0,2,standard,0
2,19,14,18,0,257,0,3,basic,0
24,19,5,14,4,1257,0,1,standard,0
14,43,0,33,3,1212,1,1,standard,1
24,86,5,38,1,1047,0,1,basic,0
51,75,7,27,5,517,1,2,basic,0
41,12,1,36,5,324,1,1,standard,0
18,31,4,10,4,1236,0,2,standard,1
28,45,8,30,6,962,1,3,standard,1
14,84,14,8,2,1251,0,2,premium,1
11,58,10,42,6,806,0,3,premium,0
33,61,14,16,3,575,0,2,basic,0
31,55,11,39,3,720,0,1,premium,0
12,56,1,13,5,570,0,3,standard,1
6,80,8,32,3,1464,0,1,premium,0
25,15,8,38,2,961,0,1,basic,0
34,5,14,38,7,1477,1,1,standard,0
44,78,3,35,5,1245,1,1,basic,1
23,23,1,7,5,492,1,1,standard,1
42,86,5,15,6,1424,0,3,premium,0
22,86,0,4,4,982,0,1,standard,1
36,85,12,7,7,372,1,2,standard,0
14,50,11,32,1,1496,0,2,standard,0
28,15,14,12,4,820,1,1,premium,0
57,78,1,6,0,695,0,2,standard,0
38,77,0,19,0,468,0,3,standard,0
19,50,11,23,3,795,0,3,standard,0
7,70,1,26,1,957,0,1,standard,0
12,9,0,32,5,463,0,2,standard,0
54,25,4,30,3,555,1,3,basic,0
46,86,2,39,6,1276,1,2,standard,1
6,65,5,13,3,1218,0,3,premium,0
7,33,11,23,6,1478,1,2,standard,0
35,64,14,5,0,1172,1,3,basic,0
10,23,7,21,0,1280,0,3,basic,0
28,38,9,23,5,713,1,3,standard,0
12,46,2,1,2,1055,0,3,premium,0
2,60,13,30,0,359,0,3,standard,0
17,67,4,23,5,507,0,2,premium,0
48,28,10,18,7,1283,0,2,basic,0
41,1,1,39,0,1137,0,1,standard,0
11,41,14,5,0,1347,0,3,standard,0
29,41,0,43,7,264,0,1,standard,1
43,16,4,20,2,1110,1,2,basic,0
17,55,1,9,5,319,0,1,premium,0
47,3,3,10,3,333,0,2,premium,0
7,35,13,14,2,700,0,2,premium,0
54,68,9,41,0,596,0,2,standard,0
54,43,13,42,2,395,0,1,premium,0
12,10,5,12,2,608,0,1,premium,0
6,19,10,32,3,866,0,1,standard,0
22,27,4,18,6,1155,0,1,standard,0
47,28,14,30,2,1313,0,1,premium,0
23,14,10,3,1,319,1,1,basic,0
26,71,4,7,6,215,0,2,basic,0
56,16,14,36,5,683,1,2,basic,0
44,55,9,36,1,596,0,2,standard,0
57,68,12,6,5,266,1,1,basic,1
37,61,9,2,3,728,0,1,basic,0
1,24,9,24,4,434,1,2,standard,0
2,4,1,3,2,1341,1,3,basic,1
40,78,14,33,2,384,0,2,basic,0
56,58,8,9,7,330,0,3,premium,0
53,15,2,11,1,815,1,1,basic,1
8,48,9,27,6,224,0,1,basic,0
47,65,13,32,1,295,0,2,premium,0
27,81,12,36,6,248,0,3,standard,0
7,6,7,16,2,1166,0,2,standard,0
27,53,0,4,7,862,0,2,basic,1
17,30,9,22,5,1349,0,1,standard,1
49,6,12,29,4,1226,1,1,premium,1
56,70,1,32,0,468,1,3,basic,0
18,59,6,43,0,896,0,1,basic,0
48,53,13,6,1,902,0,2,standard,0
36,7,7,22,5,215,0,3,basic,0
21,90,0,33,6,697,0,1,standard,1
51,44,3,5,4,1460,0,2,standard,0
55,59,5,43,7,462,1,1,basic,0
13,47,2,23,6,1422,0,2,standard,1
47,68,12,6,3,1218,0,2,basic,0
59,81,5,12,0,364,1,1,basic,0
3,43,14,43,4,1271,0,2,standard,0
17,61,3,42,4,758,1,2,basic,1
12,43,11,2,4,1024,1,1,premium,1
51,74,8,14,6,976,0,2,basic,0
55,43,13,18,3,1414,0,2,standard,0
2,4,12,33,1,1317,0,3,premium,0
49,30,11,21,5,947,0,2,premium,0
55,1,0,31,3,1495,0,2,basic,0
35,57,13,21,7,1357,0,1,basic,0
4,21,7,40,4,273,0,1,standard,0
23,29,9,21,5,1105,0,2,basic,1
41,4,14,4,2,763,0,2,standard,0
28,26,0,34,0,261,0,1,premium,0
57,12,4,3,7,362,1,2,basic,0
40,18,4,2,6,265,0,1,basic,0
17,39,9,2,3,1417,0,3,standard,0
53,36,6,33,7,275,0,1,standard,0
58,66,1,6,4,1296,0,1,basic,1
14,41,12,44,2,804,0,2,standard,0
2,46,11,30,2,1294,0,1,standard,1
14,19,11,13,2,1177,0,1,basic,0
47,49,13,21,1,202,1,2,basic,0
47,32,6,11,2,1220,0,3,premium,0
22,8,0,38,7,815,0,2,basic,0
7,24,10,44,5,948,0,2,standard,0
36,11,10,3,6,947,0,3,standard,0
43,72,14,3,5,966,0,1,premium,0
54,77,14,13,0,1422,1,2,basic,0
3,67,5,12,2,657,0,1,standard,0
11,10,7,32,5,1115,0,2,premium,0
53,18,6,31,1,1326,0,2,basic,0
41,35,4,27,7,999,0,1,premium,0
32,44,8,30,3,365,1,3,basic,0
24,3,1,14,0,395,0,1,basic,0
50,42,8,36,7,1365,0,1,basic,1
26,3,9,36,6,807,0,3,standard,0
29,50,1,44,0,1239,0,1,basic,0
36,12,0,16,6,285,0,3,premium,0
42,62,11,1,4,1304,0,2,basic,0
15,37,4,14,1,655,0,1,standard,0
41,5,3,26,5,1326,0,2,basic,0
32,85,1,13,6,931,0,2,standard,1
34,85,4,40,2,791,0,1,basic,0
56,17,10,28,1,279,1,3,standard,0
41,76,12,36,0,1398,0,2,premium,0
52,15,13,20,7,1279,0,1,premium,0
58,77,5,44,0,963,0,2,basic,0
58,90,2,16,3,553,1,3,premium,0
33,81,6,23,6,1253,0,1,premium,1
24,12,7,20,6,511,0,1,standard,0
47,25,2,26,3,1073,0,1,standard,0
45,81,0,27,5,1289,0,2,standard,1
2,60,13,5,1,274,0,3,premium,0
34,85,14,23,2,991,0,1,premium,0
48,34,14,39,0,618,0,2,premium,0
36,36,13,27,2,794,1,1,standard,0
48,56,10,22,3,664,1,1,standard,0
26,90,7,39,7,527,0,1,standard,0
12,90,14,22,7,952,1,2,premium,1
38,60,0,44,0,885,0,3,standard,0
35,38,11,4,0,1300,0,3,standard,0
48,53,1,19,0,382,0,1,basic,0
22,83,12,20,1,1194,1,3,premium,0
55,33,10,7,2,1448,1,1,basic,0
31,13,5,14,5,1173,0,1,basic,0
44,72,10,33,6,1297,0,1,basic,0
23,71,12,23,0,893,0,1,standard,0
45,18,13,23,6,1090,0,1,standard,0
59,31,4,40,3,1250,1,2,standard,1
41,27,6,18,7,1407,0,2,basic,1
30,87,3,31,7,1185,0,3,premium,0
50,26,7,25,3,907,0,1,standard,0
24,71,11,21,7,963,0,2,basic,0
19,47,5,15,0,1033,0,2,standard,0
9,76,5,30,6,636,0,2,standard,0
10,16,6,40,6,1018,0,1,standard,1
21,64,3,8,3,1015,0,2,premium,1
43,50,9,5,3,1392,0,2,standard,0
52,22,0,38,6,271,1,3,premium,1
29,78,6,42,2,975,0,2,standard,0
45,64,11,20,3,492,0,2,standard,0
7,43,9,29,6,1011,0,2,standard,1
10,36,10,13,0,1095,1,1,premium,0
46,74,6,43,0,1038,0,2,premium,0
44,62,4,41,1,595,0,2,standard,0
42,20,0,28,7,1217,1,2,standard,1
33,88,7,5,5,1246,1,2,basic,1
54,65,4,35,6,1259,0,1,basic,0
11,23,14,3,5,1033,0,1,basic,0
48,48,4,40,2,991,0,1,standard,0
54,52,0,14,5,535,0,1,basic,1
21,17,13,13,7,485,0,1,premium,0
6,75,3,23,5,513,0,1,standard,1
26,71,13,31,1,1079,0,2,basic,0
25,2,4,38,5,993,1,1,standard,0
33,32,13,38,1,640,0,1,premium,0
33,5,8,15,3,1010,0,1,standard,0
10,85,8,43,4,214,0,1,premium,0
32,4,6,9,4,1372,0,1,standard,0
32,37,11,34,2,550,1,2,basic,0
41,46,6,20,4,820,0,1,basic,0
36,90,5,35,6,749,0,2,basic,0
29,58,10,39,1,716,0,3,premium,0
26,42,3,39,4,833,1,3,premium,0
27,70,10,25,7,629,0,3,standard,0
41,8,14,13,4,341,0,1,standard,0
56,32,6,19,1,1173,0,3,premium,0
17,27,2,27,7,960,0,2,premium,0
30,57,7,42,3,753,0,1,basic,0
27,78,9,34,4,1373,0,1,basic,1
57,22,14,9,7,1205,0,2,basic,0
9,78,6,33,0,208,0,2,standard,0
6,26,5,4,2,284,0,3,standard,0
17,17,8,37,3,1389,1,1,basic,1
58,2,14,21,6,538,0,2,standard,0
12,26,13,34,0,1059,0,1,basic,0
31,37,5,41,0,1211,1,2,premium,0
38,7,3,21,7,1013,0,2,premium,1
31,32,11,7,7,1097,0,2,basic,0
51,34,9,9,5,1236,0,2,standard,1
36,71,12,42,1,904,1,2,basic,0
48,54,12,19,2,236,0,2,premium,0
18,88,2,4,5,366,0,2,basic,1
54,63,11,18,7,1397,0,2,basic,0
52,53,10,31,0,1270,0,2,standard,0
22,40,11,19,0,1036,0,2,basic,0
37,51,11,15,1,223,0,2,standard,0
48,73,7,9,5,222,0,1,standard,1
7,42,7,7,3,1050,0,2,premium,0
40,85,0,17,7,541,0,1,premium,1
54,59,9,2,1,814,1,1,basic,1
36,49,2,1,0,1029,0,2,standard,0
49,79,7,39,2,429,0,3,basic,0
15,31,1,14,1,1416,0,3,basic,0
28,26,7,1,6,488,0,2,premium,0
51,12,7,11,3,212,0,3,basic,0
29,82,5,44,3,558,0,2,basic,0
16,64,0,30,1,636,0,2,basic,0
21,52,8,40,7,1304,0,2,standard,0
37,30,11,35,5,887,0,1,standard,0
42,45,14,34,7,612,1,2,standard,0
5,39,10,1,4,1329,0,2,basic,0
49,21,9,6,7,1463,1,2,standard,1
11,24,2,35,5,1132,0,2,premium,0
8,63,3,42,1,715,0,3,basic,0
59,44,8,38,4,1350,0,2,basic,0
14,8,14,7,5,635,0,2,premium,1
16,6,6,2,6,1412,0,2,premium,1
11,4,0,32,3,278,0,2,standard,0
57,81,2,18,4,1301,1,2,standard,0
7,75,1,10,4,1098,0,2,basic,1
52,37,3,24,2,371,1,2,basic,0
58,60,12,30,1,869,1,2,standard,0
7,56,2,24,6,368,0,3,standard,0
41,86,7,37,4,638,0,2,basic,0
16,1,13,30,1,230,0,3,basic,0
42,60,3,3,7,623,1,2,basic,1
50,74,0,2,2,210,0,3,basic,0
28,61,11,32,0,1435,0,3,premium,0
36,65,1,13,2,1499,1,3,basic,1
50,37,6,28,1,669,0,3,basic,0
46,51,3,28,5,1153,0,3,standard,0
58,39,7,4,6,385,1,2,standard,1
41,6,7,15,4,1306,1,2,premium,0
19,62,14,11,6,1310,1,2,basic,1
15,9,4,29,7,212,1,2,basic,0
3,84,4,2,3,392,0,1,standard,1
26,43,11,22,4,1443,0,2,standard,0
38,58,9,41,1,1006,0,1,basic,0
29,32,4,18,7,875,0,1,basic,1
7,80,11,38,4,1494,0,1,basic,0
32,20,3,44,2,1441,0,3,basic,0
7,29,12,27,6,1430,0,2,standard,0
28,22,7,7,0,1476,0,1,standard,0
46,7,4,4,5,1111,1,3,basic,0
3,27,9,33,7,1090,0,1,standard,1
13,23,11,32,7,1191,1,1,premium,1
43,5,8,1,3,897,0,2,premium,0
42,61,5,6,6,347,0,1,standard,1
28,29,13,37,6,504,0,1,premium,0
21,15,3,43,3,246,0,3,basic,0
15,43,2,32,1,367,0,2,basic,0
15,57,14,1,7,1406,1,2,premium,1
9,77,2,31,0,683,1,2,standard,0
47,47,13,22,6,645,0,1,standard,0
11,4,1,24,6,985,0,2,standard,0
46,68,14,6,2,639,0,1,basic,0
53,63,6,27,0,375,0,2,standard,0
50,89,6,6,3,911,0,1,premium,0
29,58,12,3,2,950,0,2,standard,0
6,66,13,5,0,711,0,1,premium,0
6,37,0,11,6,432,1,3,basic,0
1,24,10,8,4,1253,0,1,standard,0
27,76,13,37,5,238,0,1,standard,0
55,26,12,35,6,718,1,1,basic,0
18,49,14,22,2,861,1,2,basic,0
13,63,14,41,0,1080,0,2,basic,0
25,48,7,28,6,1372,1,2,basic,1
27,17,2,15,6,1276,0,3,premium,0
14,45,5,35,0,311,1,2,basic,0
8,33,10,18,6,1378,1,3,standard,0
27,66,11,30,0,876,0,1,basic,0
8,59,6,15,2,1126,1,1,basic,0
38,32,13,1,4,440,1,3,basic,0
26,11,3,14,5,979,0,1,standard,0
53,0,7,36,0,965,1,2,basic,0
31,21,6,23,6,609,0,1,standard,0
6,26,3,15,4,1484,0,3,premium,0
26,67,5,24,5,392,0,1,premium,0
15,84,9,33,5,507,0,1,standard,0
59,67,12,37,5,926,0,3,standard,0
54,36,10,22,2,1257,1,2,standard,0
7,88,7,3,6,633,0,2,basic,1
20,27,13,44,1,276,1,1,basic,0
9,27,9,31,0,316,0,2,basic,0
45,80,6,28,5,1236,1,2,basic,1
11,55,14,4,2,1449,0,2,premium,0
50,20,10,10,0,531,1,2,basic,0
21,0,0,43,3,854,0,2,premium,0
2,1,5,29,3,1333,0,2,basic,0
49,86,12,16,7,230,0,2,premium,0
20,69,7,34,4,935,0,2,standard,0
24,87,6,26,0,1003,0,1,standard,1
4,5,9,39,7,1406,0,3,standard,0
15,36,1,20,7,551,1,2,basic,1
29,41,2,1,3,1270,1,1,standard,1
39,2,13,35,1,1145,0,1,standard,0
5,34,1,14,6,708,1,2,standard,1
8,14,0,5,3,903,1,2,basic,1
40,72,10,34,2,468,1,2,premium,0
30,20,2,6,3,615,1,3,basic,0
23,39,0,25,3,863,0,1,basic,0
32,35,11,16,7,1241,0,1,basic,0
58,80,0,32,7,317,0,3,premium,1
39,73,3,25,3,313,1,2,standard,0
10,26,4,41,6,1027,1,3,standard,0
45,25,5,36,3,1018,0,1,premium,0
59,80,2,34,7,800,0,3,basic,0
21,24,5,44,0,592,0,2,basic,0
9,86,6,29,6,1242,1,3,basic,1
49,70,5,10,6,1061,0,3,premium,0
17,27,13,34,7,916,0,1,standard,0
4,75,9,28,2,795,0,2,standard,0
6,10,1,39,3,380,0,3,premium,0
52,28,8,13,5,1158,0,2,basic,0
4,64,0,7,0,904,1,1,basic,0
4,22,5,43,4,370,0,2,standard,0
10,4,3,26,5,1246,0,2,standard,0
57,23,11,33,3,1399,0,2,premium,0
47,10,9,2,1,1092,0,1,basic,0
24,3,5,29,2,484,0,2,premium,0
52,7,6,2,4,623,0,3,standard,0
